head,relation,tail
绘制细胞结构简图并标注,prerequisites_for,制作并观察人的口腔上皮细胞临时装片（观察动物细胞）
制作并观察人的口腔上皮细胞临时装片（观察动物细胞）,verifies,动物细胞的基本结构
叶绿体,relates_to,线粒体
DNA,prerequisites_for,遗传信息
细胞学说,relates_to,细胞是生物体的基本单位
染色体,relates_to,DNA
DNA,prerequisites_for,染色体
染色体,prerequisites_for,细胞分裂过程中染色体的复制与均分
细胞分裂,prerequisites_for,细胞分裂过程中染色体的复制与均分
细胞分裂,prerequisites_for,细胞分化
细胞分化,prerequisites_for,组织
人体四种基本组织,is_a,组织
组织,prerequisites_for,器官
器官,prerequisites_for,系统
细胞分裂,relates_to,细胞生长
细胞分裂,prerequisites_for,动物体的结构层次
细胞分化,prerequisites_for,动物体的结构层次
组织,prerequisites_for,动物体的结构层次
分生组织,prerequisites_for,植物的主要组织类型
细胞分裂,prerequisites_for,分生组织
细胞分化,prerequisites_for,植物的主要组织类型
细胞分裂,prerequisites_for,植物体的结构层次
细胞分化,prerequisites_for,植物体的结构层次
植物的主要组织类型,prerequisites_for,植物体的结构层次
绿色开花植物的六大器官,relates_to,植物体的结构层次
单细胞生物,prerequisites_for,单细胞生物与人类的关系
单细胞生物,prerequisites_for,赤潮
观察人体的基本组织,verifies,人体四种基本组织
观察草履虫,verifies,单细胞生物
观察草履虫,verifies,草履虫的运动与避障反应（观察现象）
使用显微镜观察玻片标本并辨认组织类型,prerequisites_for,观察人体的基本组织
显微观察与记录生物体的形态和运动（控制观察条件）,prerequisites_for,观察草履虫
子叶,prerequisites_for,双子叶植物
子叶,prerequisites_for,单子叶植物
种子,prerequisites_for,种子植物
裸子植物,is_a,种子植物
被子植物,is_a,种子植物
裸子植物,relates_to,被子植物
果实,prerequisites_for,被子植物
球果不是果实（裸子植物种子裸露）,relates_to,裸子植物
输导组织,prerequisites_for,蕨类植物
孢子囊群,prerequisites_for,孢子
孢子,relates_to,种子
藻类植物,relates_to,苔藓植物
苔藓植物,relates_to,蕨类植物
观察种子的结构,verifies,种子
观察种子的结构,verifies,胚乳
种子萌发的环境条件,is_a,种子萌发
适宜的温度,is_a,种子萌发的环境条件
一定的水分,is_a,种子萌发的环境条件
充足的空气（氧气）,is_a,种子萌发的环境条件
种子萌发的自身条件,is_a,种子萌发
种子休眠,is_a,种子萌发的自身条件
种子萌发的环境条件,prerequisites_for,种子萌发
种子萌发的自身条件,prerequisites_for,种子萌发
提出假设,prerequisites_for,探究种子萌发的环境条件（四瓶对照实验）
设计对照实验（实验组与对照组）,prerequisites_for,探究种子萌发的环境条件（四瓶对照实验）
探究种子萌发的环境条件（四瓶对照实验）,verifies,种子萌发的环境条件
抽样检测,prerequisites_for,测定种子的发芽率（培养皿样本检测）
抽样与随机取样,prerequisites_for,测定种子的发芽率（培养皿样本检测）
测定种子的发芽率（培养皿样本检测）,verifies,发芽率
自花传粉,is_a,传粉
异花传粉,is_a,传粉
传粉,prerequisites_for,受精
受精,prerequisites_for,果实和种子的形成
人工辅助授粉,prerequisites_for,向日葵人工辅助授粉对产量影响的比较实验
根毛,is_a,根尖成熟区
导管,is_a,输导组织
叶片的结构（表皮、叶肉、叶脉）,prerequisites_for,蒸腾作用
保卫细胞,prerequisites_for,气孔
气孔,prerequisites_for,蒸腾作用
气孔,relates_to,蒸腾作用
导管,relates_to,无机盐运输（随水运输）
导管,prerequisites_for,蒸腾作用的意义
蒸腾作用,prerequisites_for,蒸腾作用的意义
蒸腾作用,prerequisites_for,生物圈的水循环（绿色植物的作用）
红墨水示踪水分在茎内的运输途径,verifies,导管
观察叶片的结构（徒手切片与下表皮装片）,verifies,叶片的结构（表皮、叶肉、叶脉）
观察叶片的结构（徒手切片与下表皮装片）,verifies,气孔
观察叶片的结构（徒手切片与下表皮装片）,verifies,保卫细胞
热水浸叶观察气孔分布（气泡比较）,verifies,气孔
遇碘变蓝是淀粉的特性,prerequisites_for,绿叶在光下制造有机物
绿叶在光下制造有机物,verifies,光合作用的产物（淀粉等有机物）
绿叶在光下制造有机物,verifies,光是绿色植物制造有机物不可缺少的条件
叶绿体,prerequisites_for,光合作用
叶绿素,prerequisites_for,光合作用
叶绿体,relates_to,叶绿素
光是绿色植物制造有机物不可缺少的条件,prerequisites_for,光合作用
光合作用的产物（淀粉等有机物）,relates_to,光合作用
光合作用的产物（淀粉等有机物）,prerequisites_for,有机物构建植物体并提供能量
筛管运输有机物,prerequisites_for,有机物构建植物体并提供能量
光合作用,prerequisites_for,绿色植物是生物圈中的生产者（有机物的制造者）
绿色植物是生物圈中的生产者（有机物的制造者）,prerequisites_for,绿色植物制造的有机物养育生物圈其他生物（食物链/食物网基础）
光合作用的原料,is_a,光合作用
光合作用的产物,is_a,光合作用
氧气具有助燃性,prerequisites_for,金鱼藻在光下放氧并用复燃法检验
金鱼藻在光下放氧并用复燃法检验,verifies,光合作用的产物
探究：二氧化碳是光合作用必需的原料吗,verifies,二氧化碳是光合作用必需的原料
对照实验设计（控制变量）,prerequisites_for,探究：二氧化碳是光合作用必需的原料吗
萌发种子呼吸放出二氧化碳（澄清石灰水变浑浊）,verifies,呼吸作用
萌发种子呼吸消耗氧气（蜡烛熄灭对比）,verifies,呼吸作用
萌发种子呼吸放热（温度计比较）,verifies,呼吸作用
光合作用,relates_to,呼吸作用
光合作用,relates_to,碳—氧平衡
呼吸作用,relates_to,碳—氧平衡
呼吸作用,prerequisites_for,农业生产中呼吸作用的调控
光合作用,prerequisites_for,农业生产中光合作用的应用：合理密植
草原,is_a,植被类型
荒漠,is_a,植被类型
热带雨林,is_a,植被类型
落叶阔叶林,is_a,植被类型
常绿阔叶林,is_a,植被类型
针叶林,is_a,植被类型
植被类型,relates_to,植被（vegetation）
植被（vegetation）,prerequisites_for,植被类型
依法治理与科学化管理（森林和草原）,prerequisites_for,可持续发展道路（植物资源利用与保护）
退耕还林、还草、还湖与退牧还草,prerequisites_for,可持续发展道路（植物资源利用与保护）
全民义务植树、种草（植树节）,prerequisites_for,可持续发展道路（植物资源利用与保护）
草场退化与沙化,prerequisites_for,土地沙漠化
调查与绘制分布草图,prerequisites_for,方案设计与模型/视频表达
资料查阅与案例借鉴,prerequisites_for,方案设计与模型/视频表达
方案设计与模型/视频表达,prerequisites_for,多因素约束下的综合评价与优化
调查与绘制分布草图,prerequisites_for,校园绿化设计
资料查阅与案例借鉴,prerequisites_for,校园绿化设计
方案设计与模型/视频表达,prerequisites_for,校园绿化设计
多因素约束下的综合评价与优化,prerequisites_for,校园绿化设计
第一章 认识生物,is_part_of,第一单元 生物和生物圈
第二章 了解生物圈,is_part_of,第一单元 生物和生物圈
第一章 细胞是生命活动的基本单位,is_part_of,第二单元 生物体的结构层次
第二章 细胞怎样构成生物体,is_part_of,第二单元 生物体的结构层次
第一章 生物圈中有哪些绿色植物,is_part_of,第三单元 生物圈中的绿色植物
第二章 被子植物的一生,is_part_of,第三单元 生物圈中的绿色植物
第三章 绿色植物与生物圈的水循环,is_part_of,第三单元 生物圈中的绿色植物
第四章 绿色植物是生物圈中有机物的制造者,is_part_of,第三单元 生物圈中的绿色植物
第五章 绿色植物与生物圈中的碳-氧平衡,is_part_of,第三单元 生物圈中的绿色植物
"第六章 爱护植被,绿化祖国",is_part_of,第三单元 生物圈中的绿色植物
第一单元 生物和生物圈,is_part_of,七年级上册
第二单元 生物体的结构层次,is_part_of,七年级上册
第三单元 生物圈中的绿色植物,is_part_of,七年级上册
生物,appears_in,第一章 认识生物
生物的共同特征,appears_in,第一章 认识生物
营养（生物的生活需要营养）,appears_in,第一章 认识生物
光合作用,appears_in,第一章 认识生物
呼吸（生物能进行呼吸）,appears_in,第一章 认识生物
排出废物（生物能排出身体内产生的废物）,appears_in,第一章 认识生物
应激性（对外界刺激作出反应）,appears_in,第一章 认识生物
生长,appears_in,第一章 认识生物
繁殖,appears_in,第一章 认识生物
遗传和变异,appears_in,第一章 认识生物
细胞,appears_in,第一章 认识生物
病毒,appears_in,第一章 认识生物
生物与非生物的区分,appears_in,第一章 认识生物
生物多样性（初步认识）,appears_in,第一章 认识生物
生物与环境的关系（初步认识）,appears_in,第一章 认识生物
观察比较（找相同点与不同点）,appears_in,第一章 认识生物
调查法（科学调查）,appears_in,第一章 认识生物
归类（分类）,appears_in,第一章 认识生物
科学记录与整理分析,appears_in,第一章 认识生物
调查校园、公园或农田的生物种类,appears_in,第一章 认识生物
判断下列说法是否正确。正确的画“√”，错误的画“×”。(1) 能够运动的物体就一定是生物。,appears_in,第一章 认识生物
判断下列说法是否正确。正确的画“√”，错误的画“×”。(2) 植物可以吸收氧气，释放出二氧化碳气体。,appears_in,第一章 认识生物
"判断下列说法是否正确。正确的画“√”，错误的画“×”。(3) “一猪生九仔, 连母十个样”, 这句话描述了生物的遗传现象。",appears_in,第一章 认识生物
判断下列说法是否正确。正确的画“√”，错误的画“×”。(4) 生物都是由细胞构成的。,appears_in,第一章 认识生物
环境（生物的生活环境）,appears_in,第二章 了解生物圈
生态因素,appears_in,第二章 了解生物圈
非生物因素,appears_in,第二章 了解生物圈
生物因素,appears_in,第二章 了解生物圈
对照实验,appears_in,第二章 了解生物圈
变量（实验变量）,appears_in,第二章 了解生物圈
生物与环境的相互作用,appears_in,第二章 了解生物圈
生态系统,appears_in,第二章 了解生物圈
生态系统的组成,appears_in,第二章 了解生物圈
生产者,appears_in,第二章 了解生物圈
消费者,appears_in,第二章 了解生物圈
分解者,appears_in,第二章 了解生物圈
食物链,appears_in,第二章 了解生物圈
食物网,appears_in,第二章 了解生物圈
物质和能量沿食物链/食物网流动,appears_in,第二章 了解生物圈
有毒物质沿食物链积累（生物富集）,appears_in,第二章 了解生物圈
生态系统的自动调节能力,appears_in,第二章 了解生物圈
生物圈,appears_in,第二章 了解生物圈
生物圈的范围,appears_in,第二章 了解生物圈
生态系统类型的多样性,appears_in,第二章 了解生物圈
生态系统之间的关联,appears_in,第二章 了解生物圈
科学探究的一般过程,appears_in,第二章 了解生物圈
控制变量（设置对照）,appears_in,第二章 了解生物圈
重复测量与统计求平均,appears_in,第二章 了解生物圈
探究光照对鼠妇分布的影响（明暗对照实验）,appears_in,第二章 了解生物圈
探究植物对空气湿度的影响,appears_in,第二章 了解生物圈
判断下列说法是否正确。正确的画“√”，错误的画“×”。（1）生物的环境是指生物的生存地点。（2）非生物因素只有阳光、温度和水。（3）生物既受环境影响，也能影响环境。（4）同种生物的个体之间只有竞争关系。,appears_in,第二章 了解生物圈
下列有关生物圈的范围及其定义的叙述中，正确的是：（）A. 地球上所有生物的总称; B. 大气圈、水圈和岩石圈的全部; C. 地球上所有生物能够生活的地方; D. 地球上所有生物以及它们所生活的环境,appears_in,第二章 了解生物圈
玻片标本,appears_in,第一章 细胞是生命活动的基本单位
切片,appears_in,第一章 细胞是生命活动的基本单位
涂片,appears_in,第一章 细胞是生命活动的基本单位
装片,appears_in,第一章 细胞是生命活动的基本单位
永久玻片标本,appears_in,第一章 细胞是生命活动的基本单位
临时玻片标本,appears_in,第一章 细胞是生命活动的基本单位
载玻片,appears_in,第一章 细胞是生命活动的基本单位
盖玻片,appears_in,第一章 细胞是生命活动的基本单位
材料薄而透明（显微观察条件）,appears_in,第一章 细胞是生命活动的基本单位
植物细胞的基本结构,appears_in,第一章 细胞是生命活动的基本单位
动物细胞的基本结构,appears_in,第一章 细胞是生命活动的基本单位
细胞膜,appears_in,第一章 细胞是生命活动的基本单位
细胞质,appears_in,第一章 细胞是生命活动的基本单位
细胞核,appears_in,第一章 细胞是生命活动的基本单位
线粒体,appears_in,第一章 细胞是生命活动的基本单位
叶绿体,appears_in,第一章 细胞是生命活动的基本单位
细胞壁,appears_in,第一章 细胞是生命活动的基本单位
液泡,appears_in,第一章 细胞是生命活动的基本单位
细胞是生物体的基本单位,appears_in,第一章 细胞是生命活动的基本单位
细胞学说,appears_in,第一章 细胞是生命活动的基本单位
分子,appears_in,第一章 细胞是生命活动的基本单位
无机物（细胞中的物质）,appears_in,第一章 细胞是生命活动的基本单位
有机物（细胞中的物质）,appears_in,第一章 细胞是生命活动的基本单位
能量转换（细胞中的能量变化）,appears_in,第一章 细胞是生命活动的基本单位
DNA,appears_in,第一章 细胞是生命活动的基本单位
遗传信息,appears_in,第一章 细胞是生命活动的基本单位
制作临时装片,appears_in,第一章 细胞是生命活动的基本单位
染色与引流（吸水纸引染）,appears_in,第一章 细胞是生命活动的基本单位
显微镜下低倍镜观察与结构辨认,appears_in,第一章 细胞是生命活动的基本单位
绘制细胞结构简图并标注,appears_in,第一章 细胞是生命活动的基本单位
制作并观察植物细胞临时装片（观察植物细胞）,appears_in,第一章 细胞是生命活动的基本单位
制作并观察人的口腔上皮细胞临时装片（观察动物细胞）,appears_in,第一章 细胞是生命活动的基本单位
在制作洋葱鳞片叶内表皮细胞临时装片时，盖盖玻片应如何操作以避免出现气泡？,appears_in,第一章 细胞是生命活动的基本单位
动物细胞通常具有哪些基本结构？与植物细胞相比，动物细胞通常缺少哪些结构？,appears_in,第一章 细胞是生命活动的基本单位
细胞膜在细胞生活中起什么作用？请概括其与物质进出有关的功能。,appears_in,第一章 细胞是生命活动的基本单位
细胞生长,appears_in,第二章 细胞怎样构成生物体
细胞分裂,appears_in,第二章 细胞怎样构成生物体
染色体,appears_in,第二章 细胞怎样构成生物体
DNA,appears_in,第二章 细胞怎样构成生物体
细胞分裂过程中染色体的复制与均分,appears_in,第二章 细胞怎样构成生物体
细胞分化,appears_in,第二章 细胞怎样构成生物体
组织,appears_in,第二章 细胞怎样构成生物体
人体四种基本组织,appears_in,第二章 细胞怎样构成生物体
器官,appears_in,第二章 细胞怎样构成生物体
系统,appears_in,第二章 细胞怎样构成生物体
动物体的结构层次,appears_in,第二章 细胞怎样构成生物体
分生组织,appears_in,第二章 细胞怎样构成生物体
植物的主要组织类型,appears_in,第二章 细胞怎样构成生物体
绿色开花植物的六大器官,appears_in,第二章 细胞怎样构成生物体
植物体的结构层次,appears_in,第二章 细胞怎样构成生物体
单细胞生物,appears_in,第二章 细胞怎样构成生物体
草履虫的运动与避障反应（观察现象）,appears_in,第二章 细胞怎样构成生物体
单细胞生物与人类的关系,appears_in,第二章 细胞怎样构成生物体
赤潮,appears_in,第二章 细胞怎样构成生物体
使用显微镜观察玻片标本并辨认组织类型,appears_in,第二章 细胞怎样构成生物体
显微观察与记录生物体的形态和运动（控制观察条件）,appears_in,第二章 细胞怎样构成生物体
观察人体的基本组织,appears_in,第二章 细胞怎样构成生物体
观察草履虫,appears_in,第二章 细胞怎样构成生物体
在细胞分裂过程中，为什么两个新细胞与原细胞所含的遗传物质是一样的？,appears_in,第二章 细胞怎样构成生物体
由形态相似、结构和功能相同的细胞联合在一起形成的细胞群叫做什么？,appears_in,第二章 细胞怎样构成生物体
简述人体结构层次从微观到宏观的组成顺序。,appears_in,第二章 细胞怎样构成生物体
藻类植物,appears_in,第一章 生物圈中有哪些绿色植物
苔藓植物,appears_in,第一章 生物圈中有哪些绿色植物
蕨类植物,appears_in,第一章 生物圈中有哪些绿色植物
输导组织,appears_in,第一章 生物圈中有哪些绿色植物
孢子囊群,appears_in,第一章 生物圈中有哪些绿色植物
孢子,appears_in,第一章 生物圈中有哪些绿色植物
种子,appears_in,第一章 生物圈中有哪些绿色植物
种皮,appears_in,第一章 生物圈中有哪些绿色植物
胚,appears_in,第一章 生物圈中有哪些绿色植物
子叶,appears_in,第一章 生物圈中有哪些绿色植物
胚乳,appears_in,第一章 生物圈中有哪些绿色植物
双子叶植物,appears_in,第一章 生物圈中有哪些绿色植物
单子叶植物,appears_in,第一章 生物圈中有哪些绿色植物
种子植物,appears_in,第一章 生物圈中有哪些绿色植物
裸子植物,appears_in,第一章 生物圈中有哪些绿色植物
被子植物,appears_in,第一章 生物圈中有哪些绿色植物
果实,appears_in,第一章 生物圈中有哪些绿色植物
球果不是果实（裸子植物种子裸露）,appears_in,第一章 生物圈中有哪些绿色植物
叶脉,appears_in,第一章 生物圈中有哪些绿色植物
苔藓植物是监测空气污染的指示植物,appears_in,第一章 生物圈中有哪些绿色植物
显微镜观察水中藻类,appears_in,第一章 生物圈中有哪些绿色植物
解剖与放大观察植物结构,appears_in,第一章 生物圈中有哪些绿色植物
比较法（比较不同类群特征）,appears_in,第一章 生物圈中有哪些绿色植物
观察种子的结构,appears_in,第一章 生物圈中有哪些绿色植物
根据教材：种子由哪些基本部分组成？其中哪一部分将来能发育成一个植物体？,appears_in,第一章 生物圈中有哪些绿色植物
判断题：藻类植物具有根、茎、叶的分化。（  ）,appears_in,第一章 生物圈中有哪些绿色植物
"选择题：下列关于裸子植物与被子植物的叙述，正确的是（  ）
A. 裸子植物的种子外面有果皮包被
B. 被子植物的种子裸露在外
C. 裸子植物的种子裸露着
D. 裸子植物的球果是果实",appears_in,第一章 生物圈中有哪些绿色植物
种子萌发,appears_in,第二章 被子植物的一生
种子萌发的环境条件,appears_in,第二章 被子植物的一生
适宜的温度,appears_in,第二章 被子植物的一生
一定的水分,appears_in,第二章 被子植物的一生
充足的空气（氧气）,appears_in,第二章 被子植物的一生
种子萌发的自身条件,appears_in,第二章 被子植物的一生
种子休眠,appears_in,第二章 被子植物的一生
种子萌发的过程,appears_in,第二章 被子植物的一生
发芽率,appears_in,第二章 被子植物的一生
抽样检测,appears_in,第二章 被子植物的一生
提出假设,appears_in,第二章 被子植物的一生
设计对照实验（实验组与对照组）,appears_in,第二章 被子植物的一生
抽样与随机取样,appears_in,第二章 被子植物的一生
探究种子萌发的环境条件（四瓶对照实验）,appears_in,第二章 被子植物的一生
测定种子的发芽率（培养皿样本检测）,appears_in,第二章 被子植物的一生
花的基本结构,appears_in,第二章 被子植物的一生
雄蕊,appears_in,第二章 被子植物的一生
雌蕊,appears_in,第二章 被子植物的一生
传粉,appears_in,第二章 被子植物的一生
自花传粉,appears_in,第二章 被子植物的一生
异花传粉,appears_in,第二章 被子植物的一生
受精,appears_in,第二章 被子植物的一生
果实和种子的形成,appears_in,第二章 被子植物的一生
人工辅助授粉,appears_in,第二章 被子植物的一生
向日葵人工辅助授粉对产量影响的比较实验,appears_in,第二章 被子植物的一生
种子发芽率的计算公式是什么？若供检测的种子数为100粒，其中发芽的种子数为92粒，则该批种子的发芽率是多少？,appears_in,第二章 被子植物的一生
花粉从花药散放而落到雌蕊柱头上的过程叫做什么？异花传粉通常需要哪些媒介？,appears_in,第二章 被子植物的一生
根尖成熟区,appears_in,第三章 绿色植物与生物圈的水循环
根毛,appears_in,第三章 绿色植物与生物圈的水循环
导管,appears_in,第三章 绿色植物与生物圈的水循环
输导组织,appears_in,第三章 绿色植物与生物圈的水循环
无机盐运输（随水运输）,appears_in,第三章 绿色植物与生物圈的水循环
蒸腾作用,appears_in,第三章 绿色植物与生物圈的水循环
叶片的结构（表皮、叶肉、叶脉）,appears_in,第三章 绿色植物与生物圈的水循环
气孔,appears_in,第三章 绿色植物与生物圈的水循环
保卫细胞,appears_in,第三章 绿色植物与生物圈的水循环
蒸腾作用的意义,appears_in,第三章 绿色植物与生物圈的水循环
生物圈的水循环（绿色植物的作用）,appears_in,第三章 绿色植物与生物圈的水循环
节水农业,appears_in,第三章 绿色植物与生物圈的水循环
显微观察与切片制备（徒手切片）,appears_in,第三章 绿色植物与生物圈的水循环
基于对照实验的变量控制,appears_in,第三章 绿色植物与生物圈的水循环
红墨水示踪水分在茎内的运输途径,appears_in,第三章 绿色植物与生物圈的水循环
观察叶片的结构（徒手切片与下表皮装片）,appears_in,第三章 绿色植物与生物圈的水循环
热水浸叶观察气孔分布（气泡比较）,appears_in,第三章 绿色植物与生物圈的水循环
判断：茎中的导管是运输水分的管道，导管是由一个细胞构成的。,appears_in,第三章 绿色植物与生物圈的水循环
判断：植物吸收的水分，通过蒸腾作用大量散失掉了，这对植物来说是一种浪费。,appears_in,第三章 绿色植物与生物圈的水循环
判断：植物可以通过控制保卫细胞的形状和大小来控制气体和水分的进出。,appears_in,第三章 绿色植物与生物圈的水循环
光合作用,appears_in,第四章 绿色植物是生物圈中有机物的制造者
光是绿色植物制造有机物不可缺少的条件,appears_in,第四章 绿色植物是生物圈中有机物的制造者
光合作用的产物（淀粉等有机物）,appears_in,第四章 绿色植物是生物圈中有机物的制造者
叶绿体,appears_in,第四章 绿色植物是生物圈中有机物的制造者
叶绿素,appears_in,第四章 绿色植物是生物圈中有机物的制造者
叶片是制造有机物的主要部位,appears_in,第四章 绿色植物是生物圈中有机物的制造者
遇碘变蓝是淀粉的特性,appears_in,第四章 绿色植物是生物圈中有机物的制造者
筛管运输有机物,appears_in,第四章 绿色植物是生物圈中有机物的制造者
有机物构建植物体并提供能量,appears_in,第四章 绿色植物是生物圈中有机物的制造者
绿色植物是生物圈中的生产者（有机物的制造者）,appears_in,第四章 绿色植物是生物圈中有机物的制造者
绿色植物制造的有机物养育生物圈其他生物（食物链/食物网基础）,appears_in,第四章 绿色植物是生物圈中有机物的制造者
对照实验法（遮光对照）,appears_in,第四章 绿色植物是生物圈中有机物的制造者
淀粉的化学鉴定（碘液检验）,appears_in,第四章 绿色植物是生物圈中有机物的制造者
绿叶在光下制造有机物,appears_in,第四章 绿色植物是生物圈中有机物的制造者
判断：光是绿色植物制造有机物不可缺少的条件。,appears_in,第四章 绿色植物是生物圈中有机物的制造者
判断：叶绿素是绿叶进行光合作用的主要场所。,appears_in,第四章 绿色植物是生物圈中有机物的制造者
光合作用,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
光合作用的原料,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
光合作用的产物,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
二氧化碳是光合作用必需的原料,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
氧气具有助燃性,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
呼吸作用,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
呼吸作用的场所：线粒体,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
呼吸作用是生物的共同特征,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
碳—氧平衡,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
农业生产中光合作用的应用：合理密植,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
农业生产中呼吸作用的调控,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
对照实验设计（控制变量）,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
分析实验数据并归纳结论,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
基于证据的推理（因果推断）,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
普利斯特利密闭罩实验（植物更新空气）,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
探究：二氧化碳是光合作用必需的原料吗,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
金鱼藻在光下放氧并用复燃法检验,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
萌发种子呼吸放热（温度计比较）,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
萌发种子呼吸放出二氧化碳（澄清石灰水变浑浊）,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
萌发种子呼吸消耗氧气（蜡烛熄灭对比）,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
晚上，将金鱼藻放在盛有水的试管中，将试管先后放在离白炽灯不同距离处，记录每分钟产生的气泡数如下：10cm：60个；20cm：25个；30cm：10个；40cm：5个。①金鱼藻和光源的距离远近与其产生的气泡数目之间有什么关系？从中可以得出什么结论？②如果将这个试管放在黑暗中，你能预测出实验结果吗？,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
甲乙两地出产同一种甜瓜，甲地甜瓜比乙地含糖量高。调查得：白天平均温度两地均为33℃；夜间甲地12℃、乙地22℃。光照条件和栽培措施基本相同。请分析：环境温度对呼吸作用的强弱有什么影响？写出有顺序的推理过程。,appears_in,第五章 绿色植物与生物圈中的碳-氧平衡
植被（vegetation）,appears_in,"第六章 爱护植被,绿化祖国"
植被类型,appears_in,"第六章 爱护植被,绿化祖国"
草原,appears_in,"第六章 爱护植被,绿化祖国"
荒漠,appears_in,"第六章 爱护植被,绿化祖国"
热带雨林,appears_in,"第六章 爱护植被,绿化祖国"
落叶阔叶林,appears_in,"第六章 爱护植被,绿化祖国"
常绿阔叶林,appears_in,"第六章 爱护植被,绿化祖国"
针叶林,appears_in,"第六章 爱护植被,绿化祖国"
森林资源（少林国家）,appears_in,"第六章 爱护植被,绿化祖国"
森林生态系统衰退,appears_in,"第六章 爱护植被,绿化祖国"
草场退化与沙化,appears_in,"第六章 爱护植被,绿化祖国"
土地沙漠化,appears_in,"第六章 爱护植被,绿化祖国"
可持续发展道路（植物资源利用与保护）,appears_in,"第六章 爱护植被,绿化祖国"
依法治理与科学化管理（森林和草原）,appears_in,"第六章 爱护植被,绿化祖国"
退耕还林、还草、还湖与退牧还草,appears_in,"第六章 爱护植被,绿化祖国"
全民义务植树、种草（植树节）,appears_in,"第六章 爱护植被,绿化祖国"
